Code,Department,Status,Quota,Current Quota
CHEM402.01,CHEMISTRY,UNDERGRADUATE,25,39
CHEM410.01,ALL,UNDERGRADUATE,60,49
CHEM412.01,ALL,UNDERGRADUATE,Consent Of Instructor,5
CHEM417.01,CHEMISTRY,UNDERGRADUATE,15,15
CHEM422.01,CHEMISTRY,UNDERGRADUATE,20,7
CHEM435.01,ALL,ALL,Consent Of Instructor,4
CHEM456.01,ALL,UNDERGRADUATE,Unlimited,7
CHEM471.01,ALL,UNDERGRADUATE,20,66
CHEM473.01,CHEMISTRY,UNDERGRADUATE,Consent Of Instructor,4
CHEM473.02,CHEMISTRY,UNDERGRADUATE,Consent Of Instructor,0
CHEM473.03,ALL,ALL,Consent Of Instructor,0
CHEM474.01,CHEMISTRY,UNDERGRADUATE,Consent Of Instructor,1
CHEM474.02,CHEMISTRY,UNDERGRADUATE,Consent Of Instructor,0
CHEM474.03,CHEMISTRY,UNDERGRADUATE,Consent Of Instructor,1
CHEM474.04,CHEMISTRY,UNDERGRADUATE,Consent Of Instructor,1
CHEM474.05,CHEMISTRY,UNDERGRADUATE,Consent Of Instructor,5
CHEM474.06,CHEMISTRY,UNDERGRADUATE,Consent Of Instructor,0
CHEM474.07,CHEMISTRY,UNDERGRADUATE,Consent Of Instructor,0
CHEM474.08,CHEMISTRY,UNDERGRADUATE,Consent Of Instructor,3
CHEM474.09,CHEMISTRY,UNDERGRADUATE,Consent Of Instructor,2
CHEM474.10,CHEMISTRY,UNDERGRADUATE,Consent Of Instructor,0
CHEM474.11,CHEMISTRY,UNDERGRADUATE,Consent Of Instructor,2
CHEM474.12,CHEMISTRY,UNDERGRADUATE,Consent Of Instructor,5
CHEM474.13,CHEMISTRY,UNDERGRADUATE,Consent Of Instructor,5
CHEM474.14,CHEMISTRY,UNDERGRADUATE,Consent Of Instructor,2
CHEM474.15,CHEMISTRY,UNDERGRADUATE,Consent Of Instructor,3
CHEM474.16,ALL,ALL,Consent Of Instructor,0
CHEM475.01,CHEMISTRY,UNDERGRADUATE,Consent Of Instructor,1
CHEM475.02,CHEMISTRY,UNDERGRADUATE,Consent Of Instructor,1
CHEM475.03,ALL,ALL,Consent Of Instructor,2
CHEM496.01,CHEMISTRY,UNDERGRADUATE,20,5
CHEM497.01,ALL,UNDERGRADUATE,Unlimited,18
CHEM599.08,ALL,ALL,Consent Of Instructor,1
CHEM700.01,ALL,ALL,Consent Of Instructor,0
STS 302.01,ALL,UNDERGRADUATE,50,52
CE 212.01,ALL,ALL,Consent Of Instructor,51
CE 214.01,ALL,ALL,Consent Of Instructor,69
CE 244.01,ALL,ALL,Consent Of Instructor,81
CE 246.01,ALL,ALL,Consent Of Instructor,75
CE 322.01,ALL,ALL,Consent Of Instructor,66
CE 336.01,ALL,ALL,80,61
CE 354.01,CIVIL ENGINEERING,UNDERGRADUATE,Unlimited,63
CE 356.01,CIVIL ENGINEERING,UNDERGRADUATE,Unlimited,63
CE 400.01,ALL,ALL,Consent Of Instructor,10
CE 402.01,CIVIL ENGINEERING,UNDERGRADUATE,Consent Of Instructor,54
CE 480.01,ALL,ALL,Consent Of Instructor,23
CE 487.01,ALL,ALL,Consent Of Instructor,2
CE 48C.01,ALL,ALL,Consent Of Instructor,31
CE 48M.01,ALL,ALL,Consent Of Instructor,11
CE 48T.01,ALL,ALL,Consent Of Instructor,1
CE 492.01,CIVIL ENGINEERING,UNDERGRADUATE,Unlimited,31
CE 497.01,ALL,ALL,Consent Of Instructor,3
CE 49F.01,ALL,ALL,Consent Of Instructor,24
CE 505.01,ALL,ALL,Consent Of Instructor,5
CE 530.01,ALL,ALL,Consent Of Instructor,3
CE 538.01,ALL,ALL,Consent Of Instructor,6
CE 544.01,ALL,ALL,Consent Of Instructor,6
CE 546.01,ALL,ALL,Consent Of Instructor,3
CE 548.01,ALL,ALL,Consent Of Instructor,5
CE 551.01,ALL,ALL,Consent Of Instructor,3
CE 564.01,ALL,ALL,Consent Of Instructor,1
CE 572.01,ALL,ALL,Consent Of Instructor,5
CE 579.01,ALL,ALL,Consent Of Instructor,9
CE 58B.01,ALL,ALL,Consent Of Instructor,5
CE 58M.01,ALL,ALL,Consent Of Instructor,4
CE 58Y.01,ALL,ALL,Consent Of Instructor,7
CE 596.01,ALL,ALL,Consent Of Instructor,3
CE 59B.01,ALL,ALL,Consent Of Instructor,1
CE 651.01,ALL,ALL,Consent Of Instructor,4
CE 680.01,ALL,ALL,Consent Of Instructor,4
CE 690.01,ALL,ALL,Consent Of Instructor,0
CE 690.02,ALL,ALL,Consent Of Instructor,0
CE 690.03,ALL,ALL,Consent Of Instructor,5
CE 690.04,ALL,ALL,Consent Of Instructor,6
CE 690.05,ALL,ALL,Consent Of Instructor,5
CE 690.06,ALL,ALL,Consent Of Instructor,1
CE 690.07,ALL,ALL,Consent Of Instructor,0
CE 690.08,ALL,ALL,Consent Of Instructor,0
CE 690.09,ALL,ALL,Consent Of Instructor,4
CE 690.10,ALL,ALL,Consent Of Instructor,2
CE 690.11,ALL,ALL,Consent Of Instructor,7
CE 690.12,ALL,ALL,Consent Of Instructor,3
CE 690.13,ALL,ALL,Consent Of Instructor,1
