Code,Department,Status,Quota,Current Quota,Availability
CE 790.02,ALL,ALL,Consent Of Instructor,0,Available
CE 790.03,ALL,ALL,Consent Of Instructor,6,Available
CE 790.04,ALL,ALL,Consent Of Instructor,0,Available
CE 790.05,ALL,ALL,Consent Of Instructor,4,Available
CE 790.06,ALL,ALL,Consent Of Instructor,0,Available
CE 790.07,ALL,ALL,Consent Of Instructor,1,Available
CE 790.08,ALL,ALL,Consent Of Instructor,0,Available
CE 790.09,ALL,ALL,Consent Of Instructor,1,Available
CE 790.10,ALL,ALL,Consent Of Instructor,4,Available
CE 790.11,ALL,ALL,Consent Of Instructor,4,Available
CE 790.12,ALL,ALL,Consent Of Instructor,3,Available
CE 790.13,ALL,ALL,Consent Of Instructor,1,Available
CE 790.14,ALL,ALL,Consent Of Instructor,1,Available
CE 790.15,ALL,ALL,Consent Of Instructor,3,Available
CE 790.16,ALL,ALL,Consent Of Instructor,0,Available
ENGG110.01,ALL,ALL,Consent Of Instructor,35,Available
ENGG110.01,CIVIL ENGINEERING,ALL,16,16,Full
ENGG110.02,ALL,ALL,Consent Of Instructor,15,Available
ENGG110.02,CIVIL ENGINEERING,ALL,22,13,Available
ENGG110.03,ALL,ALL,Consent Of Instructor,2,Available
ENGG110.04,ALL,ALL,Consent Of Instructor,73,Available
COGS579.01,ALL,ALL,Consent Of Instructor,3,Available
COGS589.01,ALL,ALL,Consent Of Instructor,16,Available
COGS690.02,ALL,ALL,Consent Of Instructor,0,Available
COGS690.04,ALL,ALL,Consent Of Instructor,0,Available
COGS690.06,ALL,ALL,Consent Of Instructor,2,Available
COGS690.07,ALL,ALL,Consent Of Instructor,0,Available
COGS690.08,ALL,ALL,Consent Of Instructor,0,Available
COGS690.09,ALL,ALL,Consent Of Instructor,0,Available
COGS690.10,ALL,ALL,Consent Of Instructor,0,Available
COGS690.11,ALL,ALL,Consent Of Instructor,0,Available
COGS690.12,ALL,ALL,Consent Of Instructor,0,Available
COGS690.14,ALL,ALL,Consent Of Instructor,2,Available
COGS690.15,ALL,ALL,Consent Of Instructor,0,Available
COGS690.16,ALL,ALL,Consent Of Instructor,1,Available
COGS690.17,ALL,ALL,Consent Of Instructor,1,Available
COGS690.18,ALL,ALL,Consent Of Instructor,0,Available
CSE 552.01,ALL,ALL,Consent Of Instructor,0,Available
CSE 552.02,ALL,ALL,Consent Of Instructor,0,Available
CSE 552.03,ALL,ALL,Consent Of Instructor,0,Available
CSE 552.04,ALL,ALL,Consent Of Instructor,0,Available
CSE 552.05,ALL,ALL,Consent Of Instructor,4,Available
CSE 552.06,ALL,ALL,Consent Of Instructor,0,Available
CSE 552.07,ALL,ALL,Consent Of Instructor,2,Available
CSE 552.08,ALL,ALL,Consent Of Instructor,1,Available
CSE 552.09,ALL,ALL,Consent Of Instructor,0,Available
CSE 552.10,ALL,ALL,Consent Of Instructor,0,Available
CSE 552.11,ALL,ALL,Consent Of Instructor,0,Available
CSE 552.12,ALL,ALL,Consent Of Instructor,2,Available
CSE 552.13,ALL,ALL,Consent Of Instructor,0,Available
CSE 552.14,ALL,ALL,Consent Of Instructor,1,Available
CSE 552.15,ALL,ALL,Consent Of Instructor,0,Available
CSE 552.16,ALL,ALL,Consent Of Instructor,1,Available
CSE 552.17,ALL,ALL,Consent Of Instructor,1,Available
CSE 552.18,ALL,ALL,Consent Of Instructor,0,Available
CSE 578.01,ALL,ALL,Consent Of Instructor,13,Available
CSE 579.01,ALL,ALL,Consent Of Instructor,1,Available
CSE 592.01,ALL,ALL,Consent Of Instructor,1,Available
CSE 593.01,ALL,ALL,Consent Of Instructor,2,Available
CSE 690.01,ALL,ALL,Consent Of Instructor,0,Available
CSE 690.02,ALL,ALL,Consent Of Instructor,0,Available
CSE 690.03,ALL,ALL,Consent Of Instructor,0,Available
CSE 690.04,ALL,ALL,Consent Of Instructor,0,Available
CSE 690.05,ALL,ALL,Consent Of Instructor,5,Available
CSE 690.06,ALL,ALL,Consent Of Instructor,0,Available
CSE 690.07,ALL,ALL,Consent Of Instructor,0,Available
CSE 690.08,ALL,ALL,Consent Of Instructor,1,Available
CSE 690.09,ALL,ALL,Consent Of Instructor,0,Available
CSE 690.10,ALL,ALL,Consent Of Instructor,3,Available
CSE 690.11,ALL,ALL,Consent Of Instructor,0,Available
CSE 690.12,ALL,ALL,Consent Of Instructor,14,Available
CSE 690.13,ALL,ALL,Consent Of Instructor,0,Available
CSE 690.14,ALL,ALL,Consent Of Instructor,2,Available
CSE 690.15,ALL,ALL,Consent Of Instructor,0,Available
CSE 690.16,ALL,ALL,Consent Of Instructor,1,Available
CSE 690.17,ALL,ALL,Consent Of Instructor,3,Available
CSE 690.18,ALL,ALL,Consent Of Instructor,1,Available
CET 102.01,COMPUTER EDUCATION & EDUCATIONAL TECHNOLOGY,UNDERGRADUATE,30,46,Try to get consent
CET 224.01,COMPUTER EDUCATION & EDUCATIONAL TECHNOLOGY,UNDERGRADUATE,25,27,Try to get consent
CET 224.02,COMPUTER EDUCATION & EDUCATIONAL TECHNOLOGY,UNDERGRADUATE,25,15,Available
CET 282.01,COMPUTER EDUCATION & EDUCATIONAL TECHNOLOGY,UNDERGRADUATE,50,48,Available
CET 282.02,ALL,ALL,Consent Of Instructor,0,Available
CET 314.01,COMPUTER EDUCATION & EDUCATIONAL TECHNOLOGY,UNDERGRADUATE,Consent Of Instructor,40,Available
CET 314.02,ALL,ALL,Consent Of Instructor,13,Available
CET 322.01,COMPUTER EDUCATION & EDUCATIONAL TECHNOLOGY,UNDERGRADUATE,30,25,Available
CET 322.02,COMPUTER EDUCATION & EDUCATIONAL TECHNOLOGY,UNDERGRADUATE,30,30,Full
CET 360.01,ALL,UNDERGRADUATE,30,30,Full
CET 360.02,ALL,UNDERGRADUATE,30,37,Try to get consent
CET 360.03,ALL,UNDERGRADUATE,30,32,Try to get consent
CET 360.05,ALL,UNDERGRADUATE,25,34,Try to get consent
CET 360.06,ALL,UNDERGRADUATE,25,36,Try to get consent
CET 372.01,COMPUTER EDUCATION & EDUCATIONAL TECHNOLOGY,UNDERGRADUATE,30,33,Try to get consent
CET 372.02,COMPUTER EDUCATION & EDUCATIONAL TECHNOLOGY,UNDERGRADUATE,30,32,Try to get consent
CET 444.01,COMPUTER EDUCATION & EDUCATIONAL TECHNOLOGY,UNDERGRADUATE,Consent Of Instructor,12,Available
CET 444.02,COMPUTER EDUCATION & EDUCATIONAL TECHNOLOGY,UNDERGRADUATE,Consent Of Instructor,8,Available
CET 444.03,COMPUTER EDUCATION & EDUCATIONAL TECHNOLOGY,UNDERGRADUATE,Consent Of Instructor,6,Available
CET 444.04,COMPUTER EDUCATION & EDUCATIONAL TECHNOLOGY,UNDERGRADUATE,Consent Of Instructor,10,Available
CET 462.01,COMPUTER EDUCATION & EDUCATIONAL TECHNOLOGY,UNDERGRADUATE,Consent Of Instructor,10,Available
CET 462.02,COMPUTER EDUCATION & EDUCATIONAL TECHNOLOGY,UNDERGRADUATE,Consent Of Instructor,9,Available
